,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010,275.026228304875,0.176872614760285,0.16426406217163,1.07675782774372,0.281588470286739,0.427028357711566
AT1G01020,452.250593402126,-0.149323831774339,0.130379508261746,-1.14530138796475,0.252084331228569,0.394521993073724
AT1G03987,5.79773445972005,2.1053734896698,1.49448005759736,1.40876653319453,0.158904214104621,NA
AT1G01030,192.104251344212,0.258300442853206,0.196566110695886,1.31406396524186,0.188824679371115,0.318644858209423
AT1G01040,739.367617685494,0.138717020081547,0.104573784993825,1.32649898910839,0.18467446975712,0.313208188074898
AT1G01050,2606.87415435577,-0.338477167656213,0.0596266646615032,-5.67660743021141,1.37392282511867e-08,1.18053476813895e-07
AT1G01060,174.213255379524,-1.32446476116851,0.215270494552968,-6.15256059089243,7.62418285840702e-10,7.59349178702921e-09
AT1G01070,196.828044097137,0.527949891413308,0.204316351585041,2.58398257074184,0.00976667297755426,0.0283939177005591
AT1G01080,3367.40124375957,-0.0325113032890458,0.0558857833979499,-0.581745505069514,0.560738115433975,0.693611585131906
AT1G01090,8550.27871079594,-0.430168445000535,0.0302812924016197,-14.2057491898043,8.43952279522846e-46,3.65924969498774e-44
AT1G01100,8515.50116122969,-0.83904970159415,0.0308430282337919,-27.2038690635078,5.84523535668098e-163,1.13134522589459e-160
AT1G01110,177.916203305548,0.526550443174131,0.207955616958549,2.53203280043687,0.011340338247086,0.0322260065438626
AT1G01120,3349.15780612867,0.375680765704513,0.0502463869523325,7.47677173407337,7.61705506357454e-14,1.03984114075808e-12
AT1G01130,51.8379894023746,-0.820050436126772,0.399567922766379,-2.05234301705005,0.0401363381815415,0.0933535477137472
AT1G01140,1293.38295864496,0.490769956441721,0.0814840532336533,6.02289573193484,1.71323820499253e-09,1.63739337133343e-08
AT1G01150,0.433164236923869,-2.25271858409791,4.90686427198744,-0.459095352801654,0.646165693730491,NA
AT1G01160,605.597768628503,0.2236915313035,0.113573699028948,1.96957159286046,0.0488874899880854,0.109817646131594
AT1G04007,6.83367597087108,0.956257365439254,1.18492439423738,0.807019730617246,0.41965511577199,NA
AT1G01170,894.425614364399,-0.275470070489753,0.0969326654885401,-2.84187037570241,0.00448497228143278,0.0145411814899816
AT1G04013,7.56542747770888,1.1773628959729,1.12859063874048,1.04321518853536,0.296848640524887,NA
AT1G01180,353.784863777208,-0.436796878617861,0.147420294461658,-2.96293587129869,0.00304720046319376,0.0103740246880285
AT1G08765,40.9841603396405,-0.0472807108659576,0.441662244265563,-0.107051738018903,0.914747934540668,0.947707415315017
AT1G01190,61.2989256007264,-0.0213732766126941,0.375619173505802,-0.0569014526420707,0.954623697148732,0.973679826125442
AT1G01200,102.55243624745,-0.57908034818999,0.29209817796229,-1.98248531445735,0.0474249494161601,0.107113989715521
AT1G01210,339.539352280297,-0.278382427426636,0.156552239584124,-1.77820788872871,0.0753697177865338,0.156113821057696
AT1G01220,853.505415523852,0.124894748388806,0.102500273930046,1.21848209375561,0.223040825282108,0.361260110305
AT1G01225,109.748563274299,0.00760945486634495,0.260300797476675,0.0292333136898162,0.976678512098379,0.986456267383829
AT1G01230,868.25917071455,-0.459699574902204,0.0962243285024407,-4.77737368560119,1.77599542904027e-06,1.14748945527682e-05
AT1G01240,444.697260594565,0.975487374978753,0.143080675328822,6.81774371512386,9.24814310838595e-12,1.08552835282428e-10
AT1G01250,97.2735737264748,-1.14284023489665,0.29705986707074,-3.84717143438463,0.000119489362172556,0.000567718582231287
AT1G01260,473.968750733975,0.189114454370795,0.124929753824649,1.5137663253242,0.130085116255312,0.239425146782269
AT1G01290,344.163431053501,0.133439460211515,0.146972978004402,0.907918326370976,0.363921374351066,0.51253809086338
AT1G01300,2873.14203775367,-0.527407369729965,0.0556979038390448,-9.46907034875248,2.82345267829876e-21,5.6638844124709e-20
AT1G01310,1.53777106447235,-0.26733974346332,3.17865712534338,-0.0841046180576775,0.932973252976798,NA
AT1G01320,11830.6571441963,-0.116206906940053,0.0272008697202688,-4.27217615227432,1.93574562477172e-05,0.000106618085250409
AT1G01340,73.2564516373084,-0.751023236221319,0.335956953037309,-2.23547460301533,0.0253862071465828,0.0636563453207595
AT1G01350,565.624658409741,0.137221391899057,0.115137064822364,1.19180901572196,0.233336139853988,0.373171825275299
AT1G01355,4.28243347574074,-2.84130019446208,1.79942421883074,-1.57900519773394,0.114334864843024,NA
AT1G01360,283.193695878588,-0.0665651122753542,0.166910977614939,-0.39880607750629,0.690036098592735,0.795192878536521
AT1G01370,263.743812475737,-0.705104782610001,0.170613422803586,-4.13276265737738,3.58428799124783e-05,0.000187150326268588
AT1G01380,69.9242133216065,-0.584738128056968,0.33537441032934,-1.74353829644531,0.0812396308298314,0.165585694769151
AT1G01390,488.234845727597,0.55158086646035,0.130509801523048,4.22635587537033,2.37506271977951e-05,0.000128186448774739
AT1G01420,405.825714363431,-0.713980496649712,0.139357130357035,-5.12338690399609,3.00095675494425e-07,2.18157425679286e-06
AT1G01430,3839.23797839479,0.28176874023482,0.0454855188801183,6.1946911274652,5.83994372146017e-10,5.8860485403138e-09
