gene_id,log2FoldChange,baseMean,padj
AT1G01050,-0.338477167656213,2606.87415435577,1.18053476813895e-07
AT1G01060,-1.32446476116851,174.213255379524,7.593491787029211e-09
AT1G01070,0.527949891413308,196.828044097137,0.0283939177005591
AT1G01090,-0.430168445000535,8550.27871079594,3.65924969498774e-44
AT1G01100,-0.83904970159415,8515.50116122969,1.1313452258945899e-160
AT1G01110,0.526550443174131,177.916203305548,0.0322260065438626
AT1G01120,0.375680765704513,3349.15780612867,1.03984114075808e-12
AT1G01130,-0.820050436126772,51.8379894023746,0.0933535477137472
AT1G01140,0.490769956441721,1293.38295864496,1.63739337133343e-08
AT1G01170,-0.275470070489753,894.425614364399,0.0145411814899816
AT1G01180,-0.436796878617861,353.784863777208,0.0103740246880285
AT1G01230,-0.459699574902204,868.25917071455,1.14748945527682e-05
AT1G01240,0.975487374978753,444.697260594565,1.08552835282428e-10
AT1G01250,-1.14284023489665,97.2735737264748,0.0005677185822312
AT1G01300,-0.527407369729965,2873.14203775367,5.6638844124709e-20
AT1G01320,-0.116206906940053,11830.6571441963,0.0001066180852504
AT1G01340,-0.751023236221319,73.2564516373084,0.0636563453207595
AT1G01370,-0.705104782610001,263.743812475737,0.0001871503262685
AT1G01390,0.55158086646035,488.234845727597,0.0001281864487747
AT1G01420,-0.713980496649712,405.825714363431,2.18157425679286e-06
AT1G01430,0.28176874023482,3839.23797839479,5.8860485403138e-09
AT1G01440,0.286674070877956,509.58574691614,0.0561558264186478
AT1G01470,-0.386113926560291,3433.30197904175,9.33248490814101e-15
AT1G01500,-0.596287507822645,548.093838780645,1.24976319532958e-05
AT1G01520,0.750300160015313,105.478979095731,0.0157470807864964
AT1G01540,0.250367095822843,2056.70741610168,0.000211202914442
AT1G01550,0.113159894086541,3473.83147729742,0.0415917042425798
AT1G01570,0.696002760490857,76.8055959844611,0.0787674366155202
AT1G01600,-1.15081311713697,129.858012657435,3.69735851757002e-05
AT1G01620,0.471255317338598,16353.2983673757,2.5734689274944e-97
AT1G01630,-0.445510066209805,2153.73655040221,3.24332102797387e-12
AT1G01650,-0.348405331901116,870.44458435602,0.0009583683919018
AT1G01730,-0.355539049857042,530.018236345826,0.0139977784522879
AT1G01750,-0.660000329719091,172.203230538677,0.0055450501923783
AT1G01780,-0.412890390950419,1051.08905439941,8.167431200076e-06
AT1G01790,0.117176775291932,3120.61553664926,0.0621124285610357
AT1G01800,-0.16820120107416,1787.95512543644,0.0437069547314629
AT1G01820,-0.259369523331609,1752.4271454366,0.0009832924563359
AT1G01830,-0.31694126826914,599.913407448847,0.0146190592584308
AT1G01910,-0.214866002275803,1316.31120701429,0.0213839785754556
AT1G01920,0.428305329307519,408.220730640882,0.0075937217805948
AT1G01940,-0.305406413466976,540.754802844297,0.0275931606669821
AT1G01960,0.38995058135208,2373.21189226226,4.0736050988638103e-10
AT1G01970,-0.354727964870212,1491.92876762649,1.56956941182099e-05
AT1G02060,1.60596642946765,100.096602685511,1.56897666799903e-07
AT1G02080,0.351577640866683,2509.53366032512,3.21278088734417e-08
AT1G02090,-0.181285334180227,1493.02531129982,0.0405038252257978
AT1G02120,-0.352968424854367,1463.60522925228,1.07262775706151e-05
AT1G02130,-0.195113374821764,2017.70047003823,0.0062181334538637
AT1G02140,-0.378351474088832,4253.99112818376,5.652337533890911e-15
AT1G02160,-0.330501903790828,533.584508437978,0.0374984965065661
AT1G02170,0.221426684984051,1060.65655335243,0.0296059192701404
AT1G02180,-0.59817541823713,223.057768929131,0.0074501421714001
AT1G02205,0.793356190465515,1782.3381894802,2.01619955015079e-27
AT1G02220,-0.437711703874712,176.586736860818,0.0776760897581232
AT1G02280,-0.49260173326217,3534.15961449543,2.91934315110981e-24
AT1G02290,0.414438627189846,334.078025691367,0.029386832730057
AT1G02335,-0.42498061369462,447.054140526882,0.0043526859011803
AT1G02340,0.97517337432406,446.87986864908,9.56795649383454e-12
AT1G02350,-0.875766424974924,74.1553494336841,0.0227668221285527
AT1G02390,0.792899640202152,96.8242475631015,0.0147008213001745
AT1G02475,0.241162450435874,1485.69717176325,0.0039434476613274
AT1G02500,-0.279480137651758,14820.6916272128,6.81575052141328e-29
AT1G02520,-0.587166304517001,337.367771400691,0.0006823639194629
AT1G02560,-0.0877762658060263,8334.94302573139,0.0152710767140926
AT1G02640,0.85620638232382,741.255650004177,1.01087365967029e-15
AT1G02660,0.774909105955105,252.485037989018,3.9057230229531e-05
AT1G02670,1.10280443447116,79.3969171276509,0.0024535749083421
AT1G02730,0.418599430626316,923.05484320788,2.27563819855721e-05
AT1G02780,-0.490868570280474,21963.2430583204,3.42918113946789e-168
AT1G02810,0.703915359956746,351.593141899461,1.06188265573197e-05
AT1G02820,-0.956741814064261,201.817791639453,2.13048792870231e-05
AT1G02840,-0.206826175436366,3793.44433114449,4.8099301875786e-05
AT1G02860,0.583451576289462,322.012131629579,0.0020072352479602
AT1G02870,-0.609044227452144,682.746738038478,4.33389712568225e-07
AT1G02890,0.625700089015303,1874.58773083593,1.1138130106926501e-20
AT1G02930,-1.15447666840903,916.607256834227,7.33376210479795e-33
AT1G02960,0.494043813799656,336.800142454394,0.0058489577798258
AT1G02990,0.268655122294303,468.851626079783,0.0899381764238708
AT1G03000,0.466904011391403,866.778675474561,2.06810722328213e-05
AT1G03010,1.60850203368826,25.6008083367308,0.0179760394944533
AT1G03030,0.353954173746966,414.890638170476,0.0405616142472615
AT1G03060,0.262233695063796,1423.59276415549,0.0013890081370645
AT1G03080,0.583033821807071,1759.63098445612,2.7424646576980202e-15
AT1G03090,1.03153024124296,730.777075372998,7.695412753039321e-19
AT1G03110,-0.540588928171785,623.201978018578,6.6305885144222e-06
AT1G03130,0.392091092299191,36945.4598089692,6.32461747032366e-163
AT1G03140,0.259384989771661,1414.58756563372,0.0022710768434436
AT1G03190,0.515600051686386,289.091987269844,0.0126884574227855
AT1G03220,0.299387743499444,9012.33971257038,2.23947970817327e-18
AT1G03230,0.213654599252569,1835.37105560546,0.0037869004011241
AT1G03250,-0.70253185571678,950.743503460168,2.98802688313037e-13
AT1G03290,0.269376662001634,473.742159918434,0.0806707705174922
AT1G03310,0.151378223937935,2689.89492699064,0.0261762009623804
AT1G03330,-0.639998642823735,895.766580194396,4.7330411559342494e-11
AT1G03340,0.95920066224327,100.08583224785,0.0022010821724193
AT1G03365,0.598070323512793,531.594784521937,1.71841310391891e-05
AT1G03380,0.596468173588921,1471.2921631447,1.42706703833928e-13
AT1G03470,0.841944377344308,218.859472553592,3.46352260543067e-05
AT1G03475,0.207007241767055,6600.46364305091,3.68746588819458e-08
AT1G03530,-0.312347795678392,680.70769856378,0.0331718444531565
AT1G03540,2.31635776918218,14.0989484016495,0.0227505820789216
AT1G08825,1.14110346523796,26.3238674257229,0.0971094049177494
AT1G03590,0.257756763737019,846.214410271634,0.0325619788209767
AT1G03600,-0.174232300483359,21749.4811143777,1.2716381703844299e-18
AT1G03610,0.512623326788747,797.202288395551,1.71163539416237e-05
AT1G03630,0.124519036791015,7001.51554956007,0.000926878885308
AT1G03680,-0.364565684023768,10492.8589946967,1.63832977710766e-39
AT1G03700,-0.654169008859573,116.585295569799,0.0309705619443164
AT1G03730,-0.375792945023117,370.635496962918,0.0259275414930677
AT1G03740,0.214815419190521,911.500041190056,0.0652416650235851
AT1G03770,0.738573764119357,177.274823826201,0.0014149095611785
AT1G03780,0.30644625022021,406.938553986749,0.0675294346925908
AT1G03790,-0.314468552023964,453.553359762299,0.0434734505277888
AT1G03840,-0.408150655287626,203.306874961681,0.0807938251664215
AT1G03860,0.285969063873352,2355.2375588487,7.24432307807099e-06
AT1G03870,-0.113698128258936,9647.17821913557,0.0003264755106967
AT1G03900,-0.130488427621909,2480.86497160783,0.0560224095868757
AT1G03905,-0.720561585638256,160.912307295118,0.0083016101225348
AT1G03940,-0.318568475495357,428.808321928656,0.0643888130983228
AT1G04030,0.526246500384903,164.805688103463,0.0517819463364168
AT1G04070,-0.679469940276803,317.559406677186,5.9602128436479e-05
AT1G04120,0.579598790464569,1815.8847944198,3.2549205097982097e-16
AT1G04140,0.316937417368573,2504.55386195804,7.15881186531481e-07
AT1G04170,-0.470976753994518,4011.89888582552,5.54328323242011e-21
AT1G04190,-0.316817307739349,1026.10653816933,0.0012839907803237
AT1G04210,0.499371293375666,1357.4520315121,1.07808296052561e-07
AT1G04247,1.05790666496033,47.9412214881289,0.0593964318221622
AT1G04240,0.393715599663171,322.16764865865,0.0286125649510254
AT1G04260,-0.302922568625521,568.069203637326,0.0246378740637702
AT1G04270,-0.802942627104331,12228.2293429287,2.70520834471667e-199
AT1G04280,0.352177381545535,1540.07427137571,3.54157156600119e-06
AT1G04300,0.172695111092941,1755.37795063216,0.0248226928345256
AT1G04330,-0.855865780657201,107.849342774227,0.0045941408067737
AT1G04350,0.153624969770574,1908.14865603134,0.0887440850857807
AT1G04360,0.335352436834744,298.149005070151,0.0797984283952349
AT1G04400,0.554091914516238,3348.45077935864,2.33411764464057e-29
AT1G04410,-0.260973007896148,26892.2945639391,5.12930444769586e-60
AT1G04420,0.132592157712262,4013.3754808147,0.0133945013933336
AT1G04425,-1.0863597054422,31.8640252652156,0.0959644961281253
AT1G04430,-0.216257277556505,2846.14401535503,0.0001479560721721
AT1G04440,0.362171421906384,2135.37391200864,1.22230196466456e-07
AT1G04480,-0.768714009761849,5458.9554798526,3.6020051865185e-80
AT1G04510,-0.250798463424761,2046.68737015433,0.0006625953126851
AT1G04520,-0.511432088945082,751.21289721911,1.41244717131005e-05
AT1G04530,-0.403261244325269,1754.12699339172,9.26476977846575e-09
AT1G04550,-0.405698551871809,718.753563450591,0.0004574370648503
AT1G04610,0.448412561657242,170.314280630163,0.0868083652325571
AT1G04630,-0.321030114672359,1377.4077285843,0.0001159458125228
AT1G04640,-0.596675074804217,963.091000941396,1.7626843801489901e-09
AT1G04680,-0.407040755785905,2909.67550520748,1.0299748708919e-13
AT1G04710,-0.287667392788035,868.358664518959,0.0070927954770372
AT1G04750,-0.143660305549344,2344.25524492975,0.0491165110690861
AT1G04780,0.367885403866573,1069.61794768815,6.80519841497504e-05
AT1G04790,0.270430502834188,619.129978970322,0.0834447104813536
AT1G04810,-0.140450957437987,1900.06324729188,0.0787839710501305
AT1G04850,-0.266330169444586,3080.82666917379,6.19325508323251e-05
AT1G04860,0.219553595624216,854.849610220713,0.0507382627908467
AT1G04870,-0.467790487651707,945.351999651541,3.10337892329763e-06
AT1G04940,-1.11791535937801,211.180329427785,3.2628003873388e-07
